date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:34	126/126	---MC-	200	added ('OK')	text/plain	date:Fri,%2022%20Aug%202025%2022:21:34%20GMT	https://www.intergraficachile.com/robots.txt		(from )
18:21:35	81190/81190	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2022:21:34%20GMT	https://www.intergraficachile.com/	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/index.html	(from )
18:21:36	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2022%20Aug%202025%2022:21:36%20GMT	https://www.intergraficachile.com/xmlrpc.php	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/xmlrpc.0.delayed	(from https://www.intergraficachile.com/)
18:21:37	761/761	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2029%20Aug%202024%2022:14:41%20GMT	https://www.intergraficachile.com/comments/feed/	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/comments/feed/index.html	(from https://www.intergraficachile.com/)
18:21:37	18551/18551	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2029%20Aug%202024%2022:14:41%20GMT	https://www.intergraficachile.com/feed/	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/feed/index.html	(from https://www.intergraficachile.com/)
18:21:37	116345/116345	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2002:57:19%20GMT	https://www.intergraficachile.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://www.intergraficachile.com/)
18:21:38	2894/2894	---M--	200	added ('OK')	text/css	date:Tue,%2027%20May%202025%2003:48:24%20GMT	https://www.intergraficachile.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://www.intergraficachile.com/)
18:21:39	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Aug%202024%2004:19:45%20GMT	https://www.intergraficachile.com/wp-content/themes/nur/assets/libs/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/wp-content/themes/nur/assets/libs/font-awesome/css/font-awesome.min1849.css	(from https://www.intergraficachile.com/)
18:21:40	16403/16403	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Aug%202024%2004:25:12%20GMT	https://www.intergraficachile.com/wp-content/plugins/nur-plugin/assets/libs/themify-icons/themify-icons.css?ver=1.0.1	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/wp-content/plugins/nur-plugin/assets/libs/themify-icons/themify-iconsf269.css	(from https://www.intergraficachile.com/)
18:21:40	14985/14985	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Aug%202024%2004:19:45%20GMT	https://www.intergraficachile.com/wp-content/themes/nur/assets/libs/typicons/typicons.min.css?ver=2.0.7	C:/My%20Web%20Sites/fredy/www.intergraficachile.com/wp-content/themes/nur/assets/libs/typicons/typicons.min5d0a.css	(from https://www.intergraficachile.com/)
